"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Australia among the world's worst on biodiversity conservation-defunding LTERN is short sighted
https://t.co/8WbjUeL2f8 via @ConversationEDU",FALSE,5,NA,2017-11-02 20:46:35,FALSE,NA,"926188815324143618",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CES_UNSW",5,FALSE,FALSE,NA,NA
"2","It will come as no surprise that Australia is in the shameful position of being the world's second-worst offender... https://t.co/YxGecrqChK",FALSE,1,NA,2017-10-29 00:58:08,FALSE,NA,"924440179745570816",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","AJP_Victoria",2,FALSE,FALSE,NA,NA
"3","#Australia world's second-worst offender #Biodiversity: https://t.co/TVTek5aWZa, https://t.co/DdojUxfKea https://t.co/JSEsDZPvbG",FALSE,0,NA,2017-10-26 02:00:22,FALSE,NA,"923368675779936256",NA,"<a href=""http://www.mambolook.com/biology"" rel=""nofollow"">BiologyNews</a>","BiologyTopNews",0,FALSE,FALSE,NA,NA
"4","#Australia world's second-worst offender #Biodiversity: https://t.co/wmDvIVywG0, https://t.co/DqzU2QSfF9 https://t.co/rc6l1AAP0L",FALSE,0,NA,2017-10-26 00:02:07,FALSE,NA,"923338916517810176",NA,"<a href=""http://www.mambolook.com/oceania"" rel=""nofollow"">OceaniaNews</a>","OceaniaToday",0,FALSE,FALSE,NA,NA
"5","#Australia world's second-worst offender #Biodiversity: https://t.co/w7NYQqnoDd, https://t.co/iaw0ShGa4S https://t.co/V0UvnKlwHn",FALSE,0,NA,2017-10-26 00:00:34,FALSE,NA,"923338529387810817",NA,"<a href=""http://www.mambolook.com/science"" rel=""nofollow"">ScienceNews</a>","ScienceTopNews",0,FALSE,FALSE,NA,NA
"6","Deforestation leading cause of Australia ranking as world's 2nd worst destroyer of biodiversity. Where's the urgent… https://t.co/qZWGObj7oG",FALSE,1,NA,2017-10-25 23:29:56,TRUE,NA,"923330820118429696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Glenn_Walker_",3,FALSE,FALSE,NA,NA
"7","#Australia world's second-worst offender #Biodiversity: https://t.co/EGRmoiZRJZ, https://t.co/516uDsZ8J7 https://t.co/7tpAh45V0j",FALSE,0,NA,2017-10-25 23:02:15,FALSE,NA,"923323851412574209",NA,"<a href=""http://www.mambolook.com/australia"" rel=""nofollow"">AustraliaNews</a>","AussieToday",0,FALSE,FALSE,NA,NA
"8","#Australia world's second-worst offender #Biodiversity: https://t.co/8Df8fJku2c, https://t.co/eLgF6nk8ja https://t.co/xxvODGcvG8",FALSE,0,NA,2017-10-25 23:00:24,FALSE,NA,"923323385672880129",NA,"<a href=""http://www.mambolook.com/environment"" rel=""nofollow"">EnvironmentNews</a>","EnvironmentEye",0,FALSE,FALSE,NA,NA
